"","CDSeq_estimated_cell_type_1","CDSeq_estimated_cell_type_2","CDSeq_estimated_cell_type_3","CDSeq_estimated_cell_type_4","CDSeq_estimated_cell_type_5","CDSeq_estimated_cell_type_6"
"ACAD11",2.41406400879001e-05,3.49320031556273e-05,4.83508351890116e-05,0.000103382305996572,1.53025853385265e-05,2.03896627672116e-07
"ACAD8",8.20313012695633e-06,2.16392939902116e-06,1.91110020509927e-07,5.53438468932399e-06,1.55243619376355e-06,4.68962243645867e-06
"ACAD9",7.7343798339874e-06,2.78219494159864e-06,9.55550102549637e-07,6.64126162718879e-07,2.88309578841803e-06,2.75260447357357e-05
"ACADL",7.031254394534e-07,1.26744436228382e-05,9.55550102549637e-07,1.1068769378648e-06,1.26412661492175e-05,2.03896627672116e-07
"ACADM",2.34375146484467e-07,5.25525711190854e-06,5.15997055376804e-06,1.54962771301072e-06,2.43954259019987e-06,3.87403592577021e-06
"ACADS",2.08593880371175e-05,5.87352265448601e-06,9.7466110460063e-06,1.54962771301072e-06,3.43753728619073e-05,6.17806781846512e-05
"ACADSB",2.1093763183602e-06,9.27398313866212e-07,2.1022102256092e-06,1.12901447662209e-05,2.21776599109079e-07,1.01948313836058e-06
"ACADVL",7.7343798339874e-06,1.51475057931481e-05,9.55550102549637e-07,5.09163391417808e-06,1.53025853385265e-05,3.97598423960627e-05
"ACAN",0.000107109441943401,4.72973140071768e-05,2.00665521535424e-05,3.3206308135944e-06,6.65329797327237e-07,0.000109900282315271
"ACAP1",0.000113203195751997,2.00936301337679e-05,4.03242143275947e-05,3.20994311980792e-05,1.55243619376355e-06,0.000105822349761828
"ACAP2",1.14843821777389e-05,0.00015178419070277,0.000125941503516042,0.000106481561422594,9.42550546213586e-05,4.42455682048492e-05
"ACAP3",2.32031395019622e-05,8.96485036737339e-06,1.71999018458935e-06,1.39466494170965e-05,9.09284056347224e-06,3.52741165872761e-05
"ACAT1",7.031254394534e-07,2.78219494159864e-06,3.38264736302571e-05,2.43512926330256e-06,7.25209479086689e-05,1.42727639370481e-06
"ACAT2",5.85937866211166e-06,5.25525711190854e-06,5.54219059478789e-06,1.79314063934097e-05,1.08670533563449e-05,2.03896627672116e-07
"ACBD3",2.83593927246205e-05,1.26744436228382e-05,0.000101097200849752,1.57176525176801e-05,2.59478620957622e-05,4.28182918111444e-06
"ACBD4",1.47656342285214e-05,2.78219494159864e-06,2.08309922355821e-05,6.41988623961583e-06,2.21776599109079e-07,1.42727639370481e-06
"ACBD5",4.9218780761738e-06,3.09132771288737e-07,4.01331043070848e-06,3.25421819732251e-05,4.94561816013246e-05,2.22247324162607e-05
"ACBD6",1.80468862793039e-05,9.27398313866212e-07,1.91110020509927e-07,1.48321509673883e-05,2.10687769153625e-05,4.71001209922589e-05
"ACCS",6.58594161621351e-05,5.87352265448601e-06,4.01331043070848e-06,5.09163391417808e-06,2.19558833117988e-05,6.3207954578356e-06
"ACD",6.3281289550806e-06,9.27398313866212e-07,1.91110020509927e-07,3.3206308135944e-06,2.21776599109079e-07,2.03896627672116e-07
"ACE",9.1406307128942e-06,1.20561780802608e-05,4.77775051274819e-06,1.54962771301072e-06,9.5363937616904e-06,1.28454875433433e-05
"ACE2",3.04687690429807e-06,3.09132771288737e-07,4.01331043070848e-06,6.64126162718879e-07,2.21776599109079e-07,5.91300220249137e-06
"ACER1",1.19531324707078e-05,1.54566385644369e-06,4.01331043070848e-06,3.3206308135944e-06,1.1088829955454e-06,1.44766605647203e-05
"ACER2",2.1093763183602e-06,2.19484267615004e-05,5.73330061529782e-07,2.43512926330256e-06,6.65329797327237e-07,1.83506964904905e-06
"ACER3",0.000144140715087947,3.86415964110922e-05,0.000283798380457242,6.30919854582935e-05,0.000136392608452084,2.67104582250472e-05
"ACHE",5.50781594238496e-05,8.96485036737339e-06,1.47154715792644e-05,6.64126162718879e-07,1.75203513296172e-05,7.60534421216994e-05
"ACIN1",1.61718851074282e-05,1.14379125376833e-05,2.69465128918998e-05,2.87788003844848e-06,6.65329797327237e-07,2.42636986929818e-05
"ACKR1",2.27343892089933e-05,2.16392939902116e-06,7.45329079988717e-06,2.87788003844848e-06,7.31862777059961e-06,6.3207954578356e-06
"ACKR2",1.89843868652418e-05,2.16392939902116e-06,2.35065325227211e-05,6.64126162718879e-07,7.76218096881777e-06,3.40507368212434e-05
"ACKR3",9.60938100586313e-06,3.09132771288737e-07,3.03864932610785e-05,2.2137538757296e-07,5.10086177950882e-06,7.5441752238683e-06
"ACKR4",2.74218921386826e-05,1.54566385644369e-06,9.55550102549637e-07,5.53438468932399e-06,5.98796817594513e-06,1.01948313836058e-06
"ACLY",3.91406494629059e-05,0.000104796009466882,9.19239198652751e-05,0.000153413143588061,0.000274781206296149,0.000257113647494539
"ACMSD",1.17187573242233e-06,3.09132771288737e-07,1.33777014356949e-06,2.2137538757296e-07,2.88309578841803e-06,1.42727639370481e-06
"ACO1",2.32031395019622e-05,5.25525711190854e-06,1.08932711690659e-05,6.64126162718879e-07,1.99598939198171e-06,2.65065615973751e-06
