"","CDSeq_estimated_cell_type_1","CDSeq_estimated_cell_type_2","CDSeq_estimated_cell_type_3","CDSeq_estimated_cell_type_4","CDSeq_estimated_cell_type_5","CDSeq_estimated_cell_type_6"
"ACADS",3.9744720320136e-05,3.41888462308057e-06,4.75738981217491e-05,2.20343328075104e-05,2.17084227820655e-05,1.39527900470622e-05
"ACADSB",2.19584090166497e-07,1.25958907166126e-06,8.62450784663288e-06,2.13235478782359e-06,1.50454415321246e-06,6.09206325998489e-06
"ACADVL",1.86646476641523e-05,4.138649806887e-06,2.53171036788256e-05,1.0661773939118e-05,6.44804637091054e-07,1.31667173683544e-05
"ACAN",6.65339793204487e-05,2.69911943927413e-06,8.48540288136461e-05,6.39706436347077e-06,0.000106392765120024,1.96518169676932e-07
"ACAP1",0.00013416587909173,2.21327794020479e-05,2.1978584512387e-05,1.44526268952488e-05,8.36096679428067e-05,9.8259084838466e-07
"ACAP2",1.53708863116548e-06,9.23098848231753e-05,0.000141052434782028,0.000163243605423384,7.54421425396533e-05,9.5311312293312e-05
"ACAP3",3.31571976151411e-05,1.25958907166126e-06,1.94746951375581e-06,2.62990423831576e-05,3.24551667335831e-05,1.96518169676932e-07
"ACAT1",1.09792045083249e-06,1.06165364611449e-05,6.95524826341361e-06,6.51552851834986e-05,4.36317804431613e-05,3.59628250508786e-05
"ACAT2",1.97625681149848e-06,1.88938360749189e-05,2.14221646513139e-05,7.1078492927453e-07,3.65389294351597e-06,9.2363539748158e-06
"ACBD3",9.88128405749238e-06,3.61682004862734e-05,3.06030923590199e-06,3.81454578710665e-05,2.25681622981869e-05,6.22962597875874e-05
"ACBD4",2.19584090166497e-07,2.33923684737091e-06,2.53171036788256e-05,5.92320774395442e-06,7.0928510080016e-06,1.08084993322313e-05
"ACBD5",1.09792045083249e-06,1.52950101558867e-05,5.36945165935531e-05,6.87092098298713e-06,2.14934879030351e-07,6.89778775566031e-05
"ACBD6",5.48960225416244e-06,1.60147753396932e-05,8.06808798555979e-06,3.24591784368702e-05,1.52603764111549e-05,5.69902692063103e-06
"ACCS",2.52521703691472e-05,2.33923684737091e-06,1.08501872909252e-05,3.38807482954193e-05,8.3824602821837e-06,1.78831534406008e-05
"ACD",2.19584090166497e-07,1.79941295951609e-07,4.72956881912126e-06,2.60621140733994e-06,5.37337197575878e-06,1.96518169676932e-07
"ACE",1.95429840248183e-05,4.49853239879022e-06,3.06030923590199e-06,3.0800680268563e-06,8.81233004024441e-06,9.8259084838466e-07
"ACE2",1.53708863116548e-06,5.39823887854826e-07,5.84240854126744e-06,4.97549450492171e-06,6.44804637091054e-07,2.55473620580012e-06
"ACER1",6.58752270499492e-07,2.69911943927413e-06,4.17314895804817e-06,1.25572004171834e-05,3.22402318545527e-06,4.51991790256944e-06
"ACER2",4.61126589349645e-06,1.61947166356448e-06,2.78209930536545e-07,5.44935112443807e-06,3.65389294351597e-06,3.73384522386171e-06
"ACER3",7.04864929434457e-05,0.000111743544785949,0.000148842312837051,0.000252802506511975,5.37337197575878e-06,0.000167629998734423
"ACHE",4.7210579385797e-05,1.79941295951609e-07,4.53482186774568e-05,2.8194468861223e-05,3.63239945561294e-05,2.94777254515398e-06
"ACIN1",3.73292953283046e-06,3.41888462308057e-06,2.42042639566794e-05,2.36928309758177e-07,4.75006082657077e-05,2.16169986644625e-06
"ACKR1",9.0029476968264e-06,1.25958907166126e-06,3.06030923590199e-06,1.18464154879088e-06,2.3857771572369e-05,3.34080888450784e-06
"ACKR2",5.48960225416244e-06,4.85841499069344e-06,3.75583406224335e-05,7.1078492927453e-07,3.33149062497045e-05,9.62939031416967e-06
"ACKR3",3.73292953283046e-06,5.21829758259665e-06,1.14066071519983e-05,2.0138906329445e-05,2.08486832659441e-05,4.12688156321557e-06
"ACKR4",4.61126589349645e-06,9.17700609353205e-06,3.75583406224335e-05,4.50163788540536e-06,2.14934879030351e-07,2.16169986644625e-06
"ACLY",0.000417868523586845,0.000207832196824108,1.08501872909252e-05,5.66258660322042e-05,9.24219979830511e-06,0.000338600806353354
"ACMSD",1.09792045083249e-06,8.99706479758044e-07,2.78209930536545e-07,2.36928309758177e-07,3.65389294351597e-06,5.89554509030796e-07
"ACO1",1.16379567788244e-05,1.96136012587254e-05,1.94746951375581e-06,4.02778126588901e-06,2.14934879030351e-07,1.96518169676932e-07
