"","CDSeq_estimated_cell_type_1","CDSeq_estimated_cell_type_2","CDSeq_estimated_cell_type_3","CDSeq_estimated_cell_type_4","CDSeq_estimated_cell_type_5","CDSeq_estimated_cell_type_6"
"ACO2",2.05186729694819e-05,4.53483819071841e-06,5.09819363716302e-06,1.89112717129022e-05,1.78773691928346e-05,5.34926415522281e-07
"ACOT11",5.29577178545676e-05,3.9093432678607e-06,3.76295244647746e-05,0.000128129178009888,4.17138614499473e-05,6.61525667195887e-05
"ACOT12",5.86247799128054e-07,4.69121192143283e-07,3.15602463252949e-06,2.12486199021374e-07,3.75204044787886e-06,1.24816163621866e-06
"ACOT13",1.95415933042685e-07,2.97110088357413e-06,1.86933766695977e-05,2.2736023295287e-05,2.20708261639933e-07,1.19466899466643e-05
"ACOT2",4.10373459389638e-06,1.72011103785871e-06,2.42771125579191e-07,6.37458597064121e-07,6.62124784919799e-07,2.6746320776114e-06
"ACOT4",5.86247799128054e-07,4.69121192143283e-07,2.42771125579191e-07,3.1872929853206e-06,4.19345697115873e-06,5.17095535004871e-06
"ACOT6",1.95415933042685e-07,2.03285849928756e-06,4.61265138600463e-06,1.48740339314961e-06,2.20708261639933e-07,1.78308805174094e-07
"ACOT7",0.000112754993365629,5.0821462482189e-05,9.46807389758846e-06,2.78356920717999e-05,0.000104395007755688,8.14871239645608e-05
"ACOT8",4.49456645998175e-06,1.01642924964378e-05,2.18494013021272e-06,2.99605540620137e-05,1.25803709134762e-05,3.74448490865597e-06
"ACOT9",2.20820004338234e-05,1.56373730714428e-07,7.28313376737574e-07,5.73712737357709e-06,3.310623924599e-06,1.78308805174094e-07
"ACOX1",5.68660365154212e-05,7.77177441650706e-05,6.0935552520377e-05,1.9336244110945e-05,1.39046204833158e-05,0.000112869473675201
"ACOX2",1.36791153129879e-06,1.56373730714428e-07,7.28313376737574e-07,2.76232058727786e-06,6.84195611083792e-06,1.96139685691503e-06
"ACOX3",1.50470268442867e-05,1.92339688778746e-05,1.21385562789596e-06,4.01598916150396e-05,8.60762220395739e-06,2.31801446726322e-06
"ACOXL",1.03570444512623e-05,4.69121192143283e-07,3.15602463252949e-06,1.16867409461755e-05,1.12561213436366e-05,1.60477924656684e-06
"ACP1",0.000153401507438508,0.000177171436899447,1.09247006510636e-05,2.12486199021374e-07,0.000173255985387347,2.6746320776114e-06
"ACP2",2.14957526346953e-06,1.56373730714428e-07,2.6704823813711e-06,1.38116029363893e-05,2.86920740131913e-06,5.17095535004871e-06
"ACP3",1.95415933042685e-07,1.40736357642985e-06,2.6704823813711e-06,3.71850848287404e-05,1.39046204833158e-05,1.78308805174094e-07
"ACP4",4.88539832606712e-06,1.73574841093015e-05,8.98253164643008e-06,9.6681220554725e-05,2.93541987981111e-05,1.40863956087534e-05
"ACP5",1.03570444512623e-05,2.34560596071642e-06,1.09247006510636e-05,3.1872929853206e-06,1.10354130819966e-06,5.5275729603969e-06
"ACP6",1.75874339738416e-06,1.09461611500099e-06,5.5837358883214e-06,2.06111613050732e-05,1.56702865764352e-05,2.58547767502436e-05
"ACR",5.86247799128054e-07,2.97110088357413e-06,1.69939787905434e-06,6.58707216966258e-06,1.54495783147953e-06,2.31801446726322e-06
"ACRBP",7.17176474266653e-05,1.29790196492975e-05,3.15602463252949e-06,2.14611061011587e-05,2.09672848557936e-05,3.03124968795959e-06
"ACRV1",1.34836993799452e-05,4.69121192143283e-07,3.08319329485573e-05,1.08367961500901e-05,3.20026979377903e-05,3.03124968795959e-06
"ACSBG1",8.93050814005069e-05,3.9093432678607e-06,1.69939787905434e-06,6.37458597064121e-07,3.46511970774695e-05,1.78308805174094e-07
"ACSBG2",2.14957526346953e-06,1.09461611500099e-06,4.12710913484625e-06,6.37458597064121e-07,6.62124784919799e-07,3.38786729830778e-06
"ACSF2",3.30252926842137e-05,2.42379282607363e-05,2.54909681858151e-05,6.37458597064121e-07,2.20708261639933e-07,1.78308805174094e-07
"ACSF3",4.74860717293724e-05,4.69121192143283e-07,8.01144714411331e-06,4.48345879935098e-05,5.95912306427819e-06,6.95404340178965e-06
"ACSL1",2.59903190946771e-05,1.56373730714428e-07,4.58837427344671e-05,1.06243099510687e-06,6.62124784919799e-07,1.01636018949233e-05
